gene1,gene2,statistic,pvalue
LY86,MPEG1,0.8900004836187083,4.58949460355392e-05
LY86,NCKAP1L,0.9226707184777048,7.047443353157092e-06
LY86,NSUN7,0.8871418737283557,5.2550484458680295e-05
LY86,OLR1,0.896554404766117,3.316520825567326e-05
LY86,P2RY12,0.9234515139148836,6.6750786213471184e-06
LY86,P2RY13,0.955431195207046,3.627022912448873e-07
LY86,PARP15,0.8776300748566942,8.046733849909671e-05
LY86,PIK3R5,0.882177252497111,6.593422879730196e-05
LY86,PLD4,0.9523253255909948,5.22213159938945e-07
LY86,PLVAP,0.8924345914568217,4.077703095899943e-05
LY86,PTGS1,0.929504099192522,4.293948181750655e-06
LY86,RASAL3,0.898367918982274,3.019933005495433e-05
LY86,RNASE6,0.924002675584363,6.421925193029378e-06
LY86,SAMSN1,0.8607072085975411,0.000158592669172
LY86,SELPLG,0.9436275574177262,1.2906068378254204e-06
LY86,SMIM35,0.9072285516536456,1.8608776479950337e-05
LY86,SUSD3,0.9235474745938536,6.630433194799466e-06
LY86,SYK,0.8814205262558508,6.819420890564951e-05
LY86,TBXAS1,0.8550834049139258,0.0001949426515569
LY86,TLR1,0.9574181806697368,2.833244564250505e-07
LY86,TLR6,0.9081396772881624,1.7657284260451654e-05
LY86,TMEM119,0.8687172323226388,0.0001163601189768
LY86,TNFAIP8L2,0.8618423585714141,0.0001519598999867
LY86,TREM2,0.9439994068046256,1.2453745702929868e-06
LY86,WDFY4,0.9070489478133188,1.8801117435374357e-05
MAG,MOG,0.9646492812616636,1.032313350195165e-07
MAG,MYRF,0.972750763524053,2.5052474316001583e-08
MAG,NINJ2,0.947682186402664,8.628262046594879e-07
MAG,NIPAL4,0.9236876459381064,6.565652618652336e-06
MAG,PACC1,0.913121267990097,1.3122301513579104e-05
MAG,PLXNB3,0.8849125456555097,5.826023479600509e-05
MAG,PPP1R14A,0.8710216925649467,0.0001060496153953
MAG,PRR18,0.9262573784593636,5.465707738611264e-06
MAG,RTKN,0.9488047039808836,7.674727793538986e-07
MAG,S1PR5,0.9179380833036136,9.680141897221607e-06
MAG,SLC45A3,0.9380960741409832,2.1364655913726937e-06
MAG,SLC5A11,0.8635913676967402,0.0001421751994572
MAG,SLC6A9,0.8735248499154806,9.56913252694543e-05
MAG,SMIM5,0.870163733572642,0.0001097991493854
MAG,SOX10,0.9359445537877816,2.567325475781225e-06
MAG,ST18,0.9039329611109522,2.240115744418497e-05
MAG,TF,0.951809446878574,5.535045402995315e-07
MAG,TGFA,0.913976070734412,1.2448672931027225e-05
MAG,TMEM125,0.9044374346044122,2.178347842029862e-05
MAG,TMEM233,0.8963787782867553,3.346442502491531e-05
MAG,TMEM235,0.8707366966100324,0.0001072835957801
MAG,TMEM63A,0.9027849172178468,2.385944723143846e-05
MAG,TMEM88B,0.9423879990169082,1.4511075098591563e-06
MAG,TRIM59,0.9050196856701436,2.1087684971347163e-05
MAG,TYMS,0.912119309956069,1.3948985168866649e-05
MAG,UGT8,0.9230567938419902,6.86128199191276e-06
MOG,MYRF,0.9687891532816582,5.2452873155569965e-08
MOG,NINJ2,0.9551187023677352,3.766835663964366e-07
MOG,NIPAL4,0.9273203652066128,5.056718185819404e-06
MOG,PACC1,0.9555884413085032,3.558281002819669e-07
MOG,PLXNB3,0.9237916534027512,6.517916463029487e-06
MOG,PPP1R14A,0.9246964537786796,6.114350176188409e-06
MOG,PRR18,0.9494183563020366,7.190786164475247e-07
MOG,RNF125,0.9264947508781032,5.372138536887565e-06
MOG,RTKN,0.9313074511439836,3.736721347343612e-06
MOG,S1PR5,0.9659372788667594,8.437950574265888e-08
MOG,SLC45A3,0.926438505082804,5.394191991267033e-06
MOG,SLC5A11,0.8899857416476211,4.592743946418558e-05
MOG,SLC6A9,0.8905101231859345,4.478291742828417e-05
MOG,SMIM5,0.9116490627178744,1.4351176245575932e-05
MOG,SOX10,0.917017149963395,1.0274295399008713e-05
MOG,ST18,0.9676081907374632,6.419390289918155e-08
MOG,TF,0.959137340504333,2.2661679354512175e-07
MOG,TGFA,0.9143069630651308,1.2195523102120428e-05
MOG,TMEM125,0.9031765486311698,2.335364956770749e-05
MOG,TMEM233,0.8699191986169992,0.0001108870106207
MOG,TMEM235,0.8764488259053067,8.463333923409513e-05
MOG,TMEM63A,0.9441058234117424,1.2326692671785387e-06
MOG,TMEM88B,0.9802153893388744,4.369499412839925e-09
MOG,TRIM59,0.9504388473188388,6.441000236780006e-07
MOG,TYMS,0.9635471560548976,1.2196069152164474e-07
MOG,UGT8,0.9580477993388568,2.613552520612762e-07
MPEG1,MROCKI,0.862970909493393,0.0001455869522575
MPEG1,NCKAP1L,0.9162791969636478,1.07713303952467e-05
MPEG1,P2RY12,0.8980986110646872,3.0625742411404704e-05
MPEG1,P2RY13,0.9503272669501336,6.519748921237624e-07
MPEG1,PLD4,0.8940731471816602,3.7597794289867344e-05
MPEG1,PTGS1,0.8962901058663848,3.361631904701936e-05
MPEG1,RASAL3,0.8854899093988576,5.673596281944618e-05
MPEG1,RNASE6,0.8610386616580225,0.0001566325592404
MPEG1,SAMSN1,0.8631489464211415,0.0001446013578757
MPEG1,SELPLG,0.8828187196025996,6.406582676560821e-05
MPEG1,SMIM35,0.8923683772652738,4.090989844961263e-05
MPEG1,SUSD3,0.9608984489092744,1.7846026590226866e-07
MPEG1,TLR1,0.859592376876928,0.0001653294623472
MPEG1,TLR6,0.8789835920585284,7.589729708439457e-05
MPEG1,TREM2,0.8747832590170098,9.079888635134934e-05
MPEG1,WDFY4,0.9231595226010744,6.812422390419495e-06
MROCKI,SIGLEC11,0.8874638231898603,5.176440829961863e-05
MROCKI,WDFY4,0.8620826763480302,0.0001505845222834
MYRF,NINJ2,0.9648144771481508,1.0063793215632908e-07
MYRF,NIPAL4,0.947021583132722,9.232885134510564e-07
MYRF,PACC1,0.9155955846140952,1.1248898156349244e-05
MYRF,PLD1,0.8634117373992098,0.0001431563104665
MYRF,PLXNB3,0.9061035453231804,1.984013660928687e-05
MYRF,PPP1R14A,0.8891784080976735,4.773531937647321e-05
MYRF,PRR18,0.9234045775483576,6.697003875772578e-06
MYRF,RNF125,0.8715720824728429,0.0001036986449569
MYRF,RTKN,0.9422725125572629,1.4668484843504762e-06
MYRF,S1PR5,0.9327348874971614,3.33844382359225e-06
MYRF,SH3TC2-DT,0.8706525273765291,0.0001076502197352
MYRF,SLC45A3,0.9734463798514676,2.1760232419807418e-08
MYRF,SLC5A11,0.928819846299665,4.522181201266789e-06
MYRF,SLC6A9,0.8787455449258296,7.668560051955197e-05
MYRF,SMIM5,0.9085104782010464,1.7281457659490467e-05
MYRF,SOX10,0.8889782180402171,4.819232522811544e-05
MYRF,ST18,0.9417043456478336,1.5463190720743397e-06
MYRF,TF,0.9650351860388928,9.725599281451521e-08
MYRF,TGFA,0.8925128848912641,4.0620372137806594e-05
MYRF,TMEM125,0.9169051076239306,1.034854404102936e-05
MYRF,TMEM233,0.8855832204427746,5.649264688576916e-05
MYRF,TMEM235,0.9292764622287798,4.368817793623798e-06
MYRF,TMEM63A,0.9393152412976716,1.9196244496577925e-06
MYRF,TMEM88B,0.968652763041532,5.3711906571770216e-08
MYRF,TRIM59,0.9620289794891084,1.5219871400108713e-07
MYRF,TYMS,0.927822763977894,4.872225658237016e-06
MYRF,UGT8,0.923278169801628,6.756341787136182e-06
NCKAP1L,P2RY13,0.9093924827536164,1.6413339392755338e-05
NCKAP1L,PLD4,0.8910992661465625,4.352446964829012e-05
NCKAP1L,PLVAP,0.8942625431021615,3.724354141106178e-05
NCKAP1L,PTAFR,0.892628791013037,4.038934090671299e-05
NCKAP1L,PTGS1,0.9046977003828892,2.1470211771380064e-05
NCKAP1L,RASAL3,0.908148755368927,1.764800521626935e-05
NCKAP1L,RNASE6,0.9106410636913084,1.5244811907240165e-05
NCKAP1L,SAMSN1,0.9099935021780712,1.5842174256086897e-05
NCKAP1L,SELPLG,0.8914363031356848,4.281740337026915e-05
NCKAP1L,SIGLEC10,0.8693944464049829,0.0001132505538079
NCKAP1L,SIGLEC8,0.8576994251916565,0.000177289519904
NCKAP1L,SMIM35,0.8743080809754855,9.262218105523872e-05
NCKAP1L,SUSD3,0.922441160347623,7.160053213814989e-06
NCKAP1L,SYK,0.958669314057064,2.410470289063372e-07
NCKAP1L,TBXAS1,0.9505298220402038,6.377366993732472e-07
